"Gene","Clinically_Sig"
"TACC2",0
"PANX3",0
"SPI1",0
"NAALAD2",0
"MTERFD3",0
"BTBD11",0
"SLC2A14",0
"SLC2A3",0
"EML1",0
"AKAP6",0
"MAPK8IP3",0
"SPATA22",0
"HOXB1",0
"TP53",1
"PODNL1",0
"NLRP5",0
"ZNF583",0
"TPM3",1
"TSHZ2",0
"PKDREJ",0
"PLCL1",0
"SLC11A1",0
"OBSL1",0
"DZIP1L",0
"ESYT3",0
"NPRL2",1
"ANAPC4",0
"UGT2B28",0
"HRH2",0
"PIK3R1",1
"MTX3",0
"SHPRH",0
"KIAA0319",0
"SLC39A7",1
"EPHA7",0
"MUC17",0
"ARHGEF5",0
"ELMO1",0
"EGFR",1
"AUTS2",1
"POTEA",0
"KIAA0020",0
"KIF27",0
"KLHL13",0
"FGFR2",1
"ADARB2",0
"SLC22A9",0
"TSKU",0
"HSP90B1",0
"ACADS",0
"WDR66",0
"GPR19",0
"ITGA7",0
"ANKRD52",0
"TNFSF11",1
"RB1",1
"CETP",0
"NF1",1
"ZNF99",0
"KIAA0355",0
"DPF1",0
"CYR61",0
"TAF4",1
"IRS1",0
"SLC9C1",0
"HLTF",0
"PIK3CA",1
"SEMA3C",0
"FBXO16",0
"FAM219A",0
"GPR158",0
"MYO3A",1
"EXPH5",0
"DDX6",1
"TEAD1",0
"OR52I2",0
"OR5M3",0
"SCYL1",0
"FAT3",0
"LRP6",1
"RIMKLB",0
"TPTE2",0
"PABPC3",0
"PROSER1",0
"DIS3",0
"GPR132",0
"IGHV3.33",0
"IGHV3.73",0
"RYR3",0
"ANP32AP1",0
"ZNF280D",0
"ADAMTS7",0
"SPACA3",0
"SLC35G3",0
"KRT15",0
"ARSG",1
"ABR",0
"NEDD4L",0
"HMG20B",0
"SAFB",0
"CD101",0
"VPS13D",1
"RYR2",1
"LEPR",1
"BTBD3",0
"RPRD1B",0
"DNAJC28",0
"SOX10",1
"CELSR1",1
"SLC9A4",0
"IL1B",0
"TUBA4A",1
"DES",1
"SPTBN1",1
"BCL11A",1
"ZNF385D",0
"CEP170P1",0
"WWC2",0
"EPHA5",0
"PCDHGA8",0
"ADAMTS2",1
"GFM2",0
"LAMA2",1
"SASH1",0
"PLEKHG1",0
"PLG",1
"TREML2",0
"DEFB110",0
"GAL3ST4",0
"RNF19A",0
"ASAH1",1
"USP9X",1
"ARMC3",0
"ZNF248",0
"C10orf10",0
"PTEN",1
"PHRF1",0
"PICALM",0
"UBC",0
"ANO2",0
"LEPREL2",0
"OCA2",1
"TRPM1",1
"EXD1",0
"ALDH1A2",0
"SCNN1B",1
"CLDN6",0
"ITGAD",0
"PAPL",0
"PSG1",0
"COL11A1",1
"CENPF",1
"OBSCN",1
"GJB3",1
"C8B",1
"HOOK1",0
"DEFB118",0
"DLGAP4",0
"TPST2",0
"PPIG",0
"TTN",1
"COL6A3",1
"ITPR1",1
"FLNB",1
"ENPP6",0
"HGFAC",0
"ADRA2C",0
"AFM",0
"SLC27A6",0
"PCDHGA1",0
"PLEKHG4B",0
"FAM153C",0
"KDM7A",0
"PLAG1",1
"H2BFWT",0
"RP1.274L7.1",0
"GEMIN8",0
"GABRA3",0
"P2RY8",0
"KLHL34",0
"ZNF81",0
"JMJD1C",0
"PIPSL",0
"TCTN3",0
"SIAE",0
"UEVLD",0
"CNGA4",0
"PAK1",1
"DHX37",1
"SLCO1B7",0
"USP5",0
"PTPN6",0
"PEX5",1
"FAM90A1",0
"SACS",1
"ATP7B",1
"CBLN3",0
"EAPP",0
"FMN1",0
"GALK2",0
"CSNK1G1",0
