Gene,Frequency
TACC2,0.0530973451327434
PANX3,0.00884955752212389
SPI1,0.0147492625368732
NAALAD2,0.0530973451327434
MTERFD3,0.00884955752212389
BTBD11,0.056047197640118
SLC2A14,0.0265486725663717
SLC2A3,0.0265486725663717
EML1,0.0383480825958702
AKAP6,0.079646017699115
MAPK8IP3,0.0471976401179941
SPATA22,0.00884955752212389
HOXB1,0.00884955752212389
TP53,0.578171091445428
PODNL1,0.00884955752212389
NLRP5,0.0648967551622419
ZNF583,0.0265486725663717
TPM3,0.0176991150442478
TSHZ2,0.0707964601769911
PKDREJ,0.0766961651917404
PLCL1,0.0383480825958702
SLC11A1,0.023598820058997
OBSL1,0.056047197640118
DZIP1L,0.0442477876106195
ESYT3,0.0353982300884956
NPRL2,0.00294985250737463
ANAPC4,0.00884955752212389
UGT2B28,0.023598820058997
HRH2,0.0412979351032448
PIK3R1,0.0619469026548673
MTX3,0.0206489675516224
SHPRH,0.0471976401179941
KIAA0319,0.0501474926253687
SLC39A7,0.023598820058997
EPHA7,0.0471976401179941
MUC17,0.106194690265487
ARHGEF5,0.023598820058997
ELMO1,0.056047197640118
EGFR,0.0265486725663717
AUTS2,0.0471976401179941
POTEA,0.0412979351032448
KIAA0020,0.0206489675516224
KIF27,0.023598820058997
KLHL13,0.0176991150442478
FGFR2,0.0353982300884956
ADARB2,0.0353982300884956
SLC22A9,0.00589970501474926
TSKU,0.00589970501474926
HSP90B1,0.0294985250737463
ACADS,0.0147492625368732
WDR66,0.0471976401179941
GPR19,0.0176991150442478
ITGA7,0.0648967551622419
ANKRD52,0.0324483775811209
TNFSF11,0.0117994100294985
RB1,0.0324483775811209
CETP,0.0206489675516224
NF1,0.0619469026548673
ZNF99,0.0471976401179941
KIAA0355,0.0294985250737463
DPF1,0.0117994100294985
CYR61,0.00884955752212389
TAF4,0.0206489675516224
IRS1,0.0324483775811209
SLC9C1,0.0353982300884956
HLTF,0.0176991150442478
PIK3CA,0.31858407079646
SEMA3C,0.0501474926253687
FBXO16,0.00589970501474926
FAM219A,0.00294985250737463
GPR158,0.0737463126843658
MYO3A,0.0825958702064897
EXPH5,0.0442477876106195
DDX6,0.0176991150442478
TEAD1,0.0117994100294985
OR52I2,0.0176991150442478
OR5M3,0.0206489675516224
SCYL1,0.023598820058997
FAT3,0.162241887905605
LRP6,0.0501474926253687
RIMKLB,0.023598820058997
TPTE2,0.0412979351032448
PABPC3,0.0383480825958702
PROSER1,0.0294985250737463
DIS3,0.0324483775811209
GPR132,0.0176991150442478
IGHV3.33,0.00589970501474926
IGHV3.73,0
RYR3,0.176991150442478
ANP32AP1,0.0117994100294985
ZNF280D,0.0176991150442478
ADAMTS7,0.0471976401179941
SPACA3,0.0117994100294985
SLC35G3,0.0206489675516224
KRT15,0.023598820058997
ARSG,0.0265486725663717
ABR,0.0471976401179941
NEDD4L,0.0294985250737463
HMG20B,0.00884955752212389
SAFB,0.0412979351032448
CD101,0.0206489675516224
VPS13D,0.0648967551622419
RYR2,0.218289085545723
LEPR,0.0471976401179941
BTBD3,0.0176991150442478
