"","gene","exp_hr_coef","hr_pval"
"1","TACC2",0.782922096869806,0.831474974216459
"2","NAALAD2",0.365277669405526,0.381420310974027
"3","BTBD11",0.177414031592002,0.0522841755841915
"4","SLC2A14",3.51319607425007,0.283131676741578
"5","SLC2A3",0.0238463464950971,0.010733699257768
"6","EML1",10887146.0244295,0.994910118311647
"7","AKAP6",1.3820814491387,0.76931681668716
"8","MAPK8IP3",0.318615196216168,0.322255368126086
"9","TP53",1.14770253153922,0.836549104538975
"10","NLRP5",3609156.56576718,0.994993596479545
"11","ZNF583",0.119005412277149,0.14430029303898
"12","TSHZ2",4416860.26808068,0.994940552118344
"13","PKDREJ",0.60456346894959,0.657555759588894
"14","PLCL1",0.165721160676945,0.157821037656368
"15","SLC11A1",0.297267647787803,0.340291073219422
"16","OBSL1",0.814806196312987,0.857081339248845
"17","DZIP1L",0.657747908642918,0.727890375627569
"18","ESYT3",0.160981526168142,0.113354019569547
"19","UGT2B28",0.106850468218445,0.0794630367566568
"20","HRH2",0.128303100115592,0.159087929190125
"21","PIK3R1",0.533466633657487,0.621156237228442
"22","SHPRH",1.50772082626115,0.712458760221573
"23","KIAA0319",NA,NA
"24","EPHA7",0.727961731458486,0.77937586452804
"25","MUC17",0.82654040700641,0.862886519043751
"26","ARHGEF5",2675312.33563247,0.994808027844788
"27","ELMO1",0.321622519187118,0.373215408448722
"28","EGFR",8229021.14037254,0.99464848975832
"29","AUTS2",1543739.67278643,0.995725307421876
"30","POTEA",1.22264021281641,0.856062245181861
"31","KIAA0020",5591036.89283324,0.995012126346918
"32","KLHL13",513414.949119843,0.995326548808885
"33","FGFR2",148905.533877739,0.995961190681334
"34","ADARB2",NA,NA
"35","HSP90B1",3381489.88241636,0.994853777938346
"36","WDR66",0.910010813800183,0.934539017721968
"37","ITGA7",1478862.04556185,0.996265119792378
"38","ANKRD52",1792327.02825296,0.99585134344046
"39","RB1",4232613.65353289,0.995567704225309
"40","NF1",4159269.91595748,0.995095636935164
"41","ZNF99",0.204595817045297,0.0907406174798562
"42","KIAA0355",1712368.45267991,0.994902252898654
"43","TAF4",0.952601575455681,0.966306092871013
"44","IRS1",0.739582212729344,0.790774039478908
"45","SLC9C1",4289307.96143413,0.99593994564414
"46","HLTF",1447146.01493155,0.994954288432486
"47","PIK3CA",0.854400780848573,0.82625811386895
"48","SEMA3C",0.599176051808582,0.655434750318838
"49","GPR158",1.57957766500536,0.680083288494553
"50","MYO3A",0.150727879242045,0.034540984934806
"51","EXPH5",0.273057289250739,0.187187633581621
"52","FAT3",0.781483300311189,0.767318281516738
"53","LRP6",3089649.09480482,0.994173757753998
"54","RIMKLB",NA,NA
"55","TPTE2",0.144658272571972,0.129191646848674
"56","PABPC3",0.616415647475061,0.674178674803798
"57","PROSER1",1357636.78978455,0.994975677881363
"58","DIS3",0.0672238093538123,0.0346300857992955
"59","RYR3",0.307479067665827,0.11628587753007
"60","ADAMTS7",2317283.43863426,0.995234352962157
"61","SLC35G3",3685815.35548093,0.994388495367646
"62","ARSG",0.287963974737396,0.303758309621977
"63","ABR",0.14609640128294,0.11104027793208
"64","NEDD4L",3477251.03528491,0.994844509540566
"65","SAFB",1567135.33574225,0.994914326951337
"66","CD101",0.885032112478659,0.999982166498583
"67","VPS13D",1.01098161481544,0.992264421487957
"68","RYR2",0.60252624665101,0.454272199722758
"69","LEPR",0.604795608742637,0.668413379987904
"70","SOX10",0.155478876232932,0.201289543277994
"71","CELSR1",0.264291035368537,0.132667777763366
"72","SLC9A4",0.865581780551354,0.999982309692045
