~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:5S_rRNA,Gene,5S_rRNA,N/A,N/A
gene:A1BG,Gene,A1BG,N/A,N/A
gene:A1CF,Gene,A1CF,N/A,N/A
gene:A2M,Gene,A2M,N/A,0.994761
gene:A2ML1,Gene,A2ML1,N/A,0.993992
gene:A3GALT2,Gene,A3GALT2,N/A,N/A
gene:A4GALT,Gene,A4GALT,N/A,N/A
gene:A4GNT,Gene,A4GNT,N/A,N/A
gene:AAAS,Gene,AAAS,N/A,N/A
gene:AACS,Gene,AACS,N/A,0.995093
gene:AACSP1,Gene,AACSP1,N/A,N/A
gene:AADAC,Gene,AADAC,N/A,N/A
gene:AADACL2,Gene,AADACL2,N/A,0.994348
gene:AADACL3,Gene,AADACL3,N/A,N/A
gene:AADACL4,Gene,AADACL4,N/A,0.995706
gene:AADAT,Gene,AADAT,N/A,N/A
gene:AAED1,Gene,AAED1,N/A,N/A
gene:AAGAB,Gene,AAGAB,N/A,N/A
gene:AAK1,Gene,AAK1,0.0612171,0.00901343
gene:AAMDC,Gene,AAMDC,N/A,N/A
gene:AAMP,Gene,AAMP,N/A,N/A
gene:AANAT,Gene,AANAT,N/A,N/A
gene:AAR2,Gene,AAR2,N/A,N/A
gene:AARD,Gene,AARD,N/A,N/A
gene:AARS,Gene,AARS,N/A,0.995169
gene:AARS2,Gene,AARS2,0.472775,0.426823
gene:AARSD1,Gene,AARSD1,N/A,N/A
gene:AASDH,Gene,AASDH,0.508259,0.595214
gene:AASDHPPT,Gene,AASDHPPT,N/A,N/A
gene:AASS,Gene,AASS,0.565099,0.653835
gene:AATF,Gene,AATF,N/A,N/A
gene:AATK,Gene,AATK,N/A,N/A
gene:AATK-AS1,Gene,AATK-AS1,N/A,N/A
gene:ABAT,Gene,ABAT,N/A,0.995036
gene:ABCA1,Gene,ABCA1,0.520342,0.554723
gene:ABCA10,Gene,ABCA10,0.507352,0.543793
gene:ABCA11P,Gene,ABCA11P,N/A,N/A
gene:ABCA12,Gene,ABCA12,0.294874,0.166543
gene:ABCA13,Gene,ABCA13,N/A,0.320525
gene:ABCA17P,Gene,ABCA17P,N/A,N/A
gene:ABCA2,Gene,ABCA2,0.679893,0.656482
gene:ABCA3,Gene,ABCA3,N/A,0.99546
gene:ABCA4,Gene,ABCA4,0.495248,0.410272
gene:ABCA5,Gene,ABCA5,N/A,0.994077
gene:ABCA6,Gene,ABCA6,N/A,N/A
gene:ABCA7,Gene,ABCA7,N/A,0.994494
gene:ABCA8,Gene,ABCA8,N/A,0.994986
gene:ABCA9,Gene,ABCA9,0.277617,0.287181
gene:ABCB1,Gene,ABCB1,N/A,0.99596
gene:ABCB10,Gene,ABCB10,N/A,0.994645
gene:ABCB11,Gene,ABCB11,N/A,0.99556
gene:ABCB4,Gene,ABCB4,0.266328,0.139304
gene:ABCB5,Gene,ABCB5,0.326835,0.146521
gene:ABCB6,Gene,ABCB6,N/A,N/A
gene:ABCB7,Gene,ABCB7,N/A,N/A
gene:ABCB8,Gene,ABCB8,0.468647,0.603686
gene:ABCB9,Gene,ABCB9,0.589173,0.661389
gene:ABCC1,Gene,ABCC1,N/A,0.995622
gene:ABCC10,Gene,ABCC10,N/A,0.995268
gene:ABCC11,Gene,ABCC11,N/A,0.602314
gene:ABCC12,Gene,ABCC12,N/A,0.523104
gene:ABCC13,Gene,ABCC13,N/A,N/A
gene:ABCC2,Gene,ABCC2,0.542569,0.601124
gene:ABCC3,Gene,ABCC3,0.26537,0.271377
gene:ABCC4,Gene,ABCC4,N/A,0.994664
gene:ABCC5,Gene,ABCC5,0.64378,0.715333
gene:ABCC6,Gene,ABCC6,0.334511,0.363899
gene:ABCC6P1,Gene,ABCC6P1,N/A,N/A
gene:ABCC8,Gene,ABCC8,0.058653,0.0159768
gene:ABCC9,Gene,ABCC9,N/A,0.995378
gene:ABCD1,Gene,ABCD1,0.329772,0.38379
gene:ABCD2,Gene,ABCD2,0.12632,0.0868022
gene:ABCD3,Gene,ABCD3,N/A,N/A
gene:ABCD4,Gene,ABCD4,N/A,N/A
gene:ABCE1,Gene,ABCE1,N/A,0.995932
gene:ABCF1,Gene,ABCF1,N/A,N/A
gene:ABCF2,Gene,ABCF2,N/A,N/A
gene:ABCF3,Gene,ABCF3,N/A,0.995845
gene:ABCG1,Gene,ABCG1,N/A,N/A
gene:ABCG2,Gene,ABCG2,N/A,0.995897
gene:ABCG4,Gene,ABCG4,N/A,0.995868
gene:ABCG5,Gene,ABCG5,N/A,N/A
gene:ABCG8,Gene,ABCG8,N/A,0.995925
gene:ABHD1,Gene,ABHD1,N/A,N/A
gene:ABHD10,Gene,ABHD10,N/A,N/A
gene:ABHD11,Gene,ABHD11,N/A,N/A
gene:ABHD12,Gene,ABHD12,N/A,N/A
gene:ABHD12B,Gene,ABHD12B,N/A,N/A
gene:ABHD13,Gene,ABHD13,N/A,N/A
gene:ABHD14A,Gene,ABHD14A,N/A,N/A
gene:ABHD14A-ACY1,Gene,ABHD14A-ACY1,N/A,N/A
gene:ABHD14B,Gene,ABHD14B,N/A,N/A
gene:ABHD15,Gene,ABHD15,N/A,N/A
gene:ABHD16A,Gene,ABHD16A,N/A,N/A
gene:ABHD16B,Gene,ABHD16B,N/A,N/A
gene:ABHD17A,Gene,ABHD17A,N/A,N/A
gene:ABHD17B,Gene,ABHD17B,N/A,N/A
gene:ABHD17C,Gene,ABHD17C,N/A,N/A
gene:ABHD2,Gene,ABHD2,N/A,N/A
gene:ABHD3,Gene,ABHD3,N/A,N/A
gene:ABHD4,Gene,ABHD4,N/A,N/A
gene:ABHD5,Gene,ABHD5,N/A,N/A
gene:ABHD6,Gene,ABHD6,N/A,N/A
