Gene,Frequency
TACC2,0.0485714285714286
PANX3,0.00571428571428571
SPI1,0.0142857142857143
NAALAD2,0.0485714285714286
MTERFD3,0.00285714285714286
BTBD11,0.0542857142857143
SLC2A14,0.0257142857142857
SLC2A3,0.0257142857142857
EML1,0.0285714285714286
AKAP6,0.0742857142857143
MAPK8IP3,0.0428571428571429
SPATA22,0.0114285714285714
HOXB1,0.00857142857142857
TP53,0.545714285714286
PODNL1,0.00857142857142857
NLRP5,0.0571428571428571
ZNF583,0.0228571428571429
TPM3,0.0171428571428571
TSHZ2,0.0685714285714286
PKDREJ,0.0714285714285714
PLCL1,0.0342857142857143
SLC11A1,0.0257142857142857
OBSL1,0.0485714285714286
DZIP1L,0.0371428571428571
ESYT3,0.0428571428571429
NPRL2,0.00285714285714286
ANAPC4,0.0114285714285714
UGT2B28,0.02
HRH2,0.0314285714285714
PIK3R1,0.0514285714285714
MTX3,0.0171428571428571
SHPRH,0.0457142857142857
KIAA0319,0.0514285714285714
SLC39A7,0.0171428571428571
EPHA7,0.0457142857142857
MUC17,0.105714285714286
ARHGEF5,0.0228571428571429
ELMO1,0.0457142857142857
EGFR,0.0257142857142857
AUTS2,0.0514285714285714
POTEA,0.0457142857142857
KIAA0020,0.02
KIF27,0.0114285714285714
KLHL13,0.0228571428571429
FGFR2,0.0285714285714286
ADARB2,0.0342857142857143
SLC22A9,0.00857142857142857
TSKU,0.00285714285714286
HSP90B1,0.0257142857142857
ACADS,0.00857142857142857
WDR66,0.0457142857142857
GPR19,0.02
ITGA7,0.06
ANKRD52,0.0314285714285714
TNFSF11,0.0114285714285714
RB1,0.0285714285714286
CETP,0.02
NF1,0.06
ZNF99,0.0428571428571429
KIAA0355,0.0257142857142857
DPF1,0.0142857142857143
CYR61,0.00857142857142857
TAF4,0.0257142857142857
IRS1,0.0314285714285714
SLC9C1,0.0314285714285714
HLTF,0.0228571428571429
PIK3CA,0.322857142857143
SEMA3C,0.0428571428571429
FBXO16,0.00571428571428571
FAM219A,0.00571428571428571
GPR158,0.0657142857142857
MYO3A,0.0857142857142857
EXPH5,0.0342857142857143
DDX6,0.0171428571428571
TEAD1,0.0114285714285714
OR52I2,0.0171428571428571
OR5M3,0.02
SCYL1,0.0228571428571429
FAT3,0.16
LRP6,0.0457142857142857
RIMKLB,0.0314285714285714
TPTE2,0.04
PABPC3,0.0342857142857143
PROSER1,0.0257142857142857
DIS3,0.0257142857142857
GPR132,0.0142857142857143
IGHV3.33,0.00285714285714286
IGHV3.73,0
RYR3,0.162857142857143
ANP32AP1,0.0142857142857143
ZNF280D,0.02
ADAMTS7,0.04
SPACA3,0.00571428571428571
SLC35G3,0.0228571428571429
KRT15,0.0142857142857143
ARSG,0.0228571428571429
ABR,0.0514285714285714
NEDD4L,0.0285714285714286
HMG20B,0.00857142857142857
SAFB,0.0371428571428571
CD101,0.02
VPS13D,0.0628571428571429
RYR2,0.214285714285714
LEPR,0.0371428571428571
BTBD3,0.0171428571428571
RPRD1B,0.00571428571428571
DNAJC28,0.0171428571428571
SOX10,0.0228571428571429
CELSR1,0.0828571428571429
SLC9A4,0.0314285714285714
IL1B,0.0114285714285714
TUBA4A,0.02
DES,0.02
SPTBN1,0.0771428571428571
BCL11A,0.04
ZNF385D,0.0428571428571429
CEP170P1,0.0142857142857143
WWC2,0.0257142857142857
EPHA5,0.08
PCDHGA8,0.0542857142857143
ADAMTS2,0.0885714285714286
GFM2,0.0171428571428571
LAMA2,0.117142857142857
SASH1,0.0457142857142857
PLEKHG1,0.0428571428571429
PLG,0.0542857142857143
TREML2,0.0142857142857143
DEFB110,0
GAL3ST4,0.0257142857142857
RNF19A,0.02
ASAH1,0.02
USP9X,0.0771428571428571
ARMC3,0.0514285714285714
ZNF248,0.0285714285714286
C10orf10,0
PTEN,0.0485714285714286
PHRF1,0.0485714285714286
PICALM,0.0257142857142857
UBC,0.00857142857142857
ANO2,0.0428571428571429
LEPREL2,0.0457142857142857
OCA2,0.0571428571428571
TRPM1,0.0571428571428571
EXD1,0.0114285714285714
ALDH1A2,0.0342857142857143
SCNN1B,0.02
CLDN6,0.0142857142857143
ITGAD,0.0485714285714286
PAPL,0.0285714285714286
PSG1,0.0314285714285714
COL11A1,0.111428571428571
CENPF,0.0657142857142857
OBSCN,0.245714285714286
GJB3,0.0257142857142857
C8B,0.0428571428571429
HOOK1,0.02
DEFB118,0.00571428571428571
DLGAP4,0.0314285714285714
TPST2,0.0142857142857143
PPIG,0.0228571428571429
TTN,0.525714285714286
COL6A3,0.131428571428571
ITPR1,0.08
FLNB,0.0771428571428571
ENPP6,0.0114285714285714
HGFAC,0.02
ADRA2C,0.00857142857142857
AFM,0.02
SLC27A6,0.04
PCDHGA1,0.0428571428571429
PLEKHG4B,0.0428571428571429
FAM153C,0
KDM7A,0.0342857142857143
PLAG1,0.0257142857142857
H2BFWT,0.0114285714285714
RP1.274L7.1,0.00285714285714286
GEMIN8,0.0142857142857143
GABRA3,0.0228571428571429
P2RY8,0.0228571428571429
KLHL34,0.04
ZNF81,0.0114285714285714
JMJD1C,0.0428571428571429
PIPSL,0.0542857142857143
TCTN3,0.0171428571428571
SIAE,0.0171428571428571
UEVLD,0.0142857142857143
CNGA4,0.0285714285714286
PAK1,0.0257142857142857
DHX37,0.0428571428571429
SLCO1B7,0.0285714285714286
USP5,0.0314285714285714
PTPN6,0.0257142857142857
PEX5,0.0228571428571429
FAM90A1,0.0228571428571429
SACS,0.128571428571429
ATP7B,0.0285714285714286
CBLN3,0.0171428571428571
EAPP,0.0114285714285714
FMN1,0.0371428571428571
GALK2,0.0228571428571429
CSNK1G1,0.0114285714285714
GOLGA6C,0.0142857142857143
HS3ST6,0
STX1B,0.00857142857142857
CDH8,0.0714285714285714
MSLNL,0.0228571428571429
CENPBD1,0.00857142857142857
SDK2,0.0828571428571429
TMEM104,0.0342857142857143
TBC1D16,0.02
MYH10,0.0342857142857143
PIEZO2,0.0228571428571429
RTTN,0.0485714285714286
ATP9B,0.0257142857142857
SMARCA4,0.06
ZNF429,0.0314285714285714
GRIK5,0.06
NLRP11,0.04
MUC16,0.282857142857143
ZNF266,0.0257142857142857
TTF2,0.0285714285714286
ITGA10,0.0457142857142857
ZNF687,0.0314285714285714
FLG,0.177142857142857
PTPRC,0.0685714285714286
HHIPL2,0.0314285714285714
EPHB2,0.0342857142857143
SYTL1,0.0142857142857143
TMEM53,0.00285714285714286
TAL1,0.0114285714285714
C1orf141,0.0142857142857143
COL24A1,0.0457142857142857
DSN1,0.0142857142857143
PTPRT,0.105714285714286
MX2,0.02
TBC1D8,0.0314285714285714
LRP1B,0.188571428571429
SLC38A11,0.0142857142857143
SCN2A,0.08
APOB,0.0971428571428571
CAD,0.0514285714285714
THADA,0.0228571428571429
PIK3CB,0.0228571428571429
ATR,0.0514285714285714
HPS3,0.0314285714285714
RNF168,0.0228571428571429
FBXO45,0.00285714285714286
TOP2B,0.0628571428571429
FBXL2,0.0171428571428571
XIRP1,0.0657142857142857
CCDC12,0.00285714285714286
AMIGO3,0.0314285714285714
DNAH1,0.122857142857143
LARP7,0.0257142857142857
KIAA1109,0.137142857142857
BOD1L1,0.0628571428571429
NPY2R,0.0285714285714286
ADAM29,0.0428571428571429
HTT,0.0657142857142857
HNRNPDL,0.0285714285714286
PCDHGA6,0.0657142857142857
DROSHA,0.0485714285714286
RHOBTB3,0.0228571428571429
PDSS2,0.00857142857142857
TIAM2,0.0571428571428571
CDKAL1,0.0114285714285714
DAXX,0.0228571428571429
ZNF713,0.02
SUN1,0.0285714285714286
PEX1,0.0342857142857143
RIMS2,0.0857142857142857
TRPM6,0.06
VPS13A,0.08
DCAF12L2,0.0542857142857143
CSF2RA,0.0257142857142857
CMC4,0.00571428571428571
IL9R,0.0114285714285714
KIAA1462,0.0485714285714286
ANO3,0.04
OR5D13,0.0228571428571429
OR10V1,0.00857142857142857
CAPN1,0.0142857142857143
SRRM4,0.0514285714285714
RIMBP2,0.0828571428571429
RAPGEF3,0.0228571428571429
FGF14,0.0228571428571429
TDRD9,0.0171428571428571
C14orf39,0.0257142857142857
DET1,0.02
CCDC135,0.0257142857142857
SMG8,0.02
DLG4,0.0257142857142857
DNAH17,0.122857142857143
CTAGE1,0.0314285714285714
TNFRSF11A,0.02
NFIX,0.00571428571428571
MATK,0.0257142857142857
ZNF526,0.0228571428571429
CATSPERD,0.0542857142857143
ZNF606,0.0142857142857143
KCNA2,0.0142857142857143
NKAIN1,0
SSTR4,0.0371428571428571
BPIFB2,0.0285714285714286
PPP1R16B,0.0371428571428571
PLCB4,0.0514285714285714
SLC5A7,0.0228571428571429
TPO,0.0571428571428571
STAM2,0.0114285714285714
PSME4,0.0371428571428571
XYLB,0.0142857142857143
GABRA4,0.0314285714285714
ERGIC1,0
WDR70,0.0228571428571429
RFX6,0.04
SYNJ2,0.0485714285714286
CNTNAP2,0.0885714285714286
KMT2C,0.122857142857143
NEFM,0.0542857142857143
MELK,0.0342857142857143
CT55,0.00571428571428571
MAGEB18,0.00571428571428571
ANKRD26,0.0514285714285714
MPP7,0.0142857142857143
BICC1,0.0428571428571429
OR5L1,0.0228571428571429
OR5B12,0.0142857142857143
IGHMBP2,0.02
IRAK3,0.02
ATP11A,0.0371428571428571
SNORD116.12,0
GRAMD2,0.00857142857142857
IDH3A,0.00857142857142857
PARN,0.0142857142857143
ZNF646,0.0657142857142857
KRT9,0.02
NXN,0.0171428571428571
RECQL5,0.0314285714285714
GRIN3B,0.0285714285714286
SBSN,0.0257142857142857
ZNF569,0.0342857142857143
ZNF155,0.0142857142857143
PNMAL1,0.0228571428571429
C3,0.0571428571428571
PNPLA6,0.0257142857142857
PGLYRP4,0.00857142857142857
WDR33,0.04
IDH1,0.0171428571428571
TOMM70A,0.02
LRRC31,0.0314285714285714
CHL1,0.0742857142857143
ADAMTS3,0.04
GFRAL,0.00571428571428571
FIS1,0
HIPK2,0.0371428571428571
TRPV6,0.0285714285714286
CCDC146,0.0171428571428571
EMC2,0.00857142857142857
TAF2,0.0285714285714286
SLCO5A1,0.0342857142857143
ATRX,0.08
NEURL1,0.00857142857142857
BMS1,0.0285714285714286
CYP2C8,0.0171428571428571
MUC2,0.0742857142857143
OR5M11,0.00857142857142857
UVRAG,0.0142857142857143
NOP2,0.0257142857142857
MIR495,0.00857142857142857
IGHG2,0.0228571428571429
SIX4,0.0285714285714286
ACSM2B,0.0228571428571429
ITGAM,0.0314285714285714
HYDIN,0.142857142857143
WNT3,0.02
C17orf47,0.00857142857142857
CD300A,0.0114285714285714
THEG,0.0171428571428571
ZNF571,0.0285714285714286
EEF2,0.0342857142857143
