Gene,Frequency
TACC2,0.407407407407407
PANX3,0.0555555555555556
SPI1,0.111111111111111
NAALAD2,0.351851851851852
MTERFD3,0.0555555555555556
BTBD11,0.425925925925926
SLC2A14,0.240740740740741
SLC2A3,0.185185185185185
EML1,0.259259259259259
AKAP6,0.592592592592593
MAPK8IP3,0.333333333333333
SPATA22,0.0925925925925926
HOXB1,0.0925925925925926
TP53,4.09259259259259
PODNL1,0.0740740740740741
NLRP5,0.425925925925926
ZNF583,0.185185185185185
TPM3,0.111111111111111
TSHZ2,0.518518518518518
PKDREJ,0.555555555555556
PLCL1,0.259259259259259
SLC11A1,0.203703703703704
OBSL1,0.407407407407407
DZIP1L,0.296296296296296
ESYT3,0.296296296296296
NPRL2,0.0185185185185185
ANAPC4,0.0740740740740741
UGT2B28,0.166666666666667
HRH2,0.259259259259259
PIK3R1,0.425925925925926
MTX3,0.12962962962963
SHPRH,0.351851851851852
KIAA0319,0.333333333333333
SLC39A7,0.148148148148148
EPHA7,0.351851851851852
MUC17,0.777777777777778
ARHGEF5,0.166666666666667
ELMO1,0.388888888888889
EGFR,0.203703703703704
AUTS2,0.351851851851852
POTEA,0.351851851851852
KIAA0020,0.185185185185185
KIF27,0.148148148148148
KLHL13,0.166666666666667
FGFR2,0.222222222222222
ADARB2,0.222222222222222
SLC22A9,0.0740740740740741
TSKU,0.037037037037037
HSP90B1,0.222222222222222
ACADS,0.0925925925925926
WDR66,0.388888888888889
GPR19,0.12962962962963
ITGA7,0.425925925925926
ANKRD52,0.259259259259259
TNFSF11,0.111111111111111
RB1,0.222222222222222
CETP,0.148148148148148
NF1,0.444444444444444
ZNF99,0.333333333333333
KIAA0355,0.185185185185185
DPF1,0.0925925925925926
CYR61,0.0555555555555556
TAF4,0.185185185185185
IRS1,0.259259259259259
SLC9C1,0.240740740740741
HLTF,0.166666666666667
PIK3CA,2.35185185185185
SEMA3C,0.314814814814815
FBXO16,0.037037037037037
FAM219A,0.037037037037037
GPR158,0.537037037037037
MYO3A,0.62962962962963
